Name,% Docs Cited,Web of Science Documents,Collab-CNCI,Rank,Times Cited,Affiliation,Web of Science ResearcherID,Category Normalized Citation Impact,ORCID,All Open Access Documents,Non-Open Access Documents,% All Open Access Documents,H-Index,% Non-Open Access Documents,Hot Papers
"Asher, Andrew D",0.0,1,0.0,152,0,Western Sydney University; CSIRO Astronomy & Space; Commonwealth Scientific & Industrial Research Organisation (CSIRO); Indiana University System; Indiana Univ Bloomington Lib; Mathematica; Indiana University Bloomington,EKB-0214-2022,0.0,,0,1,0.0,0,100.0,0
"Mihaljevic, Jasminka",0.0,1,0.0,152,0,University of JJ Strossmayer Osijek; Fac Econ,J-4992-2018,0.0,,0,1,0.0,0,100.0,0
"Bryne, Amelia",0.0,1,0.0,152,0,DeepTechorg; Deep Tech; Concordia University - Canada,EPD-3569-2022,0.0,,0,1,0.0,0,100.0,0
"Lin, Na",0.0,1,0.0,152,0,Southwest Jiaotong University; Air Force Engineering University; Fujian Provincial Hospital; Xiamen University of Technology; Bohai University; Shandong University of Finance & Economics; Jilin Agricultural University; Rongcheng Hosp; Tianjin University; Inst Basic Res Clin Med,IMH-7125-2023,0.0,,0,1,0.0,0,100.0,0
"Prasolova, Polina S.",0.0,1,0.0,152,0,Belgorod State Inst Culture & Arts,HMK-3412-2023,0.0,,1,0,100.0,0,0.0,0
"Fischer, Christine",0.0,1,0.0,152,0,University of North Carolina Greensboro; University of North Carolina; University of Rostock; Leibniz Association; Leibniz Institut fur Katalyse e.V. an der Universitat Rostock (LIKAT),EVA-2791-2022,0.0,,0,1,0.0,0,100.0,0
"Ferris, T.",0.0,1,0.0,152,0,University of Leeds; Shoreline Community Coll,CQS-8623-2022,0.0,,0,1,0.0,0,100.0,0
"Bucknall, Tim M",0.0,1,0.0,152,0,University of North Carolina; University of North Carolina Greensboro; Carolina Consortium,B-5603-2008,0.0,,1,0,100.0,0,0.0,0
"Vraimaki, Eftichia",0.0,1,0.0,152,0,University of West Attica; Natl Lib Greece; Democritus University of Thrace,AAS-1747-2020,0.0,,0,1,0.0,0,100.0,0
"Sato, Ayumi",0.0,1,0.0,152,0,Seikei University,HVV-7883-2023,0.0,,0,1,0.0,0,100.0,0
"Minami, Toshiro",0.0,1,0.0,152,0,Kyushu Inst Informat Sci; GlobalWafers Japan Co Ltd; KIIS; Kyushu University; Kyushu Univ Lib; Covalent Mat Corp; Covalent Silicon Corp,DGQ-1671-2022,0.0,,0,1,0.0,0,100.0,0
"Bryant, Lauren",0.0,1,0.0,152,0,Shoreline Community College; Shoreline Community Coll,KAI-6599-2024,0.0,0000-0002-7477-9155,0,1,0.0,0,100.0,0
"Koloniari, Maria",0.0,1,0.0,152,0,University of West Attica; National & Kapodistrian University of Athens,I-6354-2019,0.0,0000-0003-2905-2085,0,1,0.0,0,100.0,0
"Cataldo, Tara",0.0,1,0.0,152,0,University of Florida; State University System of Florida,ITZ-5197-2023,0.0,,0,1,0.0,0,100.0,0
"Boric, Marta",0.0,1,0.0,152,0,University of Zagreb; University of JJ Strossmayer Osijek; Dept Cultural Studies; Sestre Milosrdnice Univ Hosp,CHE-3639-2022,0.0,,0,1,0.0,0,100.0,0
"Milewski, Steven",0.0,1,0.0,152,0,University of Tennessee Knoxville; University of Tennessee System,IMZ-0177-2023,0.0,,0,1,0.0,0,100.0,0
"BRENER, F",0.0,1,0.0,152,0,Universidad de Guadalajara; HealOr Ltd,ENR-4344-2022,0.0,,0,1,0.0,0,100.0,0
"Muneja, Paul Samwel",0.0,1,0.0,152,0,University of Dar es Salaam,IXW-9127-2023,0.0,,0,1,0.0,0,100.0,0
"Erfanmanesh, Mohammadamin",0.0,1,0.0,152,0,Universiti Malaya; University of Isfahan; Shahid Beheshti University,G-4512-2017,0.0,0000-0002-1843-0012,0,1,0.0,0,100.0,0
"Merlo Vega, José Antonio",0.0,1,0.0,152,0,University of Oviedo; Universidad Autonoma de Chile; University of Salamanca; CooperVis Inc; CINVESTAV - Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional; Fdn German Sanchez Ruiperez,C-3968-2009,0.0,0000-0002-9102-4408,1,0,100.0,0,0.0,0

Filter Summary:
Dataset: Web of Science 22102025:182853 + ESCI
Schema:  Web of Science
Person ID Type Group:  WoS Researcher Profile
Domestic/International Collaboration:  All
"Time Period:  [2010, 2025]"
Include Early Access documents:  true
Person ID Type:  All
Funding Data Source:  All Sources

"Exported date  Oct 22, 2025. "
"InCites dataset updated  2025-10-17. Includes Web of Science content indexed through 2025-09-30. "

